criterion,max_depth,min_samples_split,min_samples_leaf,recall,precision,f1
gini,,1,1,0.3875,0.35929531757070005,0.3728650469088285
gini,,1,2,0.273,0.3627906976744186,0.3115549215406562
gini,,1,3,0.295,0.3748411689961881,0.3301622831561276
gini,,1,4,0.2355,0.33286219081272084,0.27584187408491945
gini,,1,5,0.2385,0.30994152046783624,0.2695676744843176
gini,,2,1,0.387,0.36372180451127817,0.375
gini,,2,2,0.279,0.364467668190725,0.3160577740016992
gini,,2,3,0.3025,0.37647790914747975,0.33545883005267535
gini,,2,4,0.241,0.3387210119465917,0.2816243061641835
gini,,2,5,0.2405,0.3129472999349382,0.2719819055696918
gini,,3,1,0.3685,0.38146997929606624,0.3748728382502543
gini,,3,2,0.278,0.36723910171730517,0.3164484917472965
gini,,3,3,0.297,0.37618746041798606,0.3319362950544845
gini,,3,4,0.239,0.33496846531184304,0.27896119054566676
gini,,3,5,0.2405,0.31233766233766236,0.27175141242937856
gini,,4,1,0.3445,0.36687965921192756,0.3553378029912326
gini,,4,2,0.2855,0.3727154046997389,0.3233295583238958
gini,,4,3,0.2995,0.3800761421319797,0.33501118568232663
gini,,4,4,0.2365,0.3340395480225989,0.27693208430913346
gini,,4,5,0.2425,0.313915857605178,0.2736248236953456
gini,,5,1,0.32,0.3565459610027855,0.3372859025032938
gini,,5,2,0.276,0.3773069036226931,0.31879872942535376
gini,,5,3,0.2935,0.3712839974699557,0.32784138508796423
gini,,5,4,0.239,0.33426573426573425,0.27871720116618076
gini,,5,5,0.2455,0.315958815958816,0.2763083849184018
gini,2,1,1,0.0575,0.26436781609195403,0.0944558521560575
gini,2,1,2,0.0525,0.25925925925925924,0.08731808731808732
gini,2,1,3,0.056,0.2647754137115839,0.09244737928188196
gini,2,1,4,0.0385,0.21690140845070421,0.0653927813163482
gini,2,1,5,0.084,0.27184466019417475,0.12834224598930483
gini,2,2,1,0.056,0.2586605080831409,0.09206740649404029
gini,2,2,2,0.0535,0.2616136919315403,0.08883354088833541
gini,2,2,3,0.054,0.2571428571428571,0.08925619834710743
gini,2,2,4,0.0395,0.21703296703296704,0.06683587140439932
gini,2,2,5,0.084,0.2709677419354839,0.1282442748091603
gini,2,3,1,0.055,0.25821596244131456,0.09068425391591096
gini,2,3,2,0.053,0.2591687041564792,0.08800332088003321
gini,2,3,3,0.054,0.2589928057553957,0.08936698386429458
gini,2,3,4,0.0415,0.23119777158774374,0.07036880033912675
gini,2,3,5,0.086,0.28104575163398693,0.13169984686064318
gini,2,4,1,0.0595,0.27546296296296297,0.09786184210526316
gini,2,4,2,0.055,0.2637889688249401,0.09102192800992967
gini,2,4,3,0.0595,0.27674418604651163,0.09794238683127572
gini,2,4,4,0.037,0.21511627906976744,0.06313993174061433
gini,2,4,5,0.084,0.27495908346972175,0.128686327077748
gini,2,5,1,0.0555,0.25934579439252337,0.0914332784184514
gini,2,5,2,0.0545,0.2678132678132678,0.09056917324470296
gini,2,5,3,0.0555,0.2605633802816901,0.09150865622423743
gini,2,5,4,0.0405,0.225,0.06864406779661017
gini,2,5,5,0.0855,0.27403846153846156,0.13033536585365854
gini,5,1,1,0.299,0.3503222026947862,0.3226328567574858
gini,5,1,2,0.2765,0.39727011494252873,0.326061320754717
gini,5,1,3,0.268,0.3806818181818182,0.3145539906103286
gini,5,1,4,0.241,0.34015525758645027,0.28211881767632424
gini,5,1,5,0.244,0.31729518855656696,0.27586206896551724
gini,5,2,1,0.2985,0.3540925266903915,0.32392837764514376
gini,5,2,2,0.271,0.39190166305133767,0.32042565770026604
gini,5,2,3,0.2725,0.3848870056497175,0.3190866510538642
gini,5,2,4,0.2385,0.34415584415584416,0.2817483756645009
gini,5,2,5,0.24,0.3127035830618892,0.27157001414427157
gini,5,3,1,0.301,0.37046153846153845,0.33213793103448275
gini,5,3,2,0.2715,0.3917748917748918,0.32073242764323684
gini,5,3,3,0.2705,0.3820621468926554,0.3167447306791569
gini,5,3,4,0.2405,0.34186211798152094,0.2823598473730555
gini,5,3,5,0.2415,0.3138401559454191,0.2729584628426109
gini,5,4,1,0.294,0.3574468085106383,0.3226337448559671
gini,5,4,2,0.269,0.38816738816738816,0.3177790903721205
gini,5,4,3,0.2705,0.38287331917905165,0.31702314679167887
gini,5,4,4,0.242,0.34375,0.284037558685446
gini,5,4,5,0.249,0.3202572347266881,0.280168776371308
gini,5,5,1,0.288,0.34972677595628415,0.31587606251713735
gini,5,5,2,0.2705,0.38396025550035484,0.31739513053681434
gini,5,5,3,0.2635,0.37562366357804705,0.3097267117249486
gini,5,5,4,0.2395,0.3382768361581921,0.28044496487119436
gini,5,5,5,0.2465,0.31909385113268607,0.27813822284908324
gini,10,1,1,0.3875,0.3616425571628558,0.3741250301713734
gini,10,1,2,0.2835,0.37351778656126483,0.3223422399090392
gini,10,1,3,0.2985,0.38001273074474856,0.33436012321478575
gini,10,1,4,0.2385,0.3359154929577465,0.2789473684210526
gini,10,1,5,0.242,0.31145431145431146,0.2723691615081598
gini,10,2,1,0.384,0.3617522373999058,0.37254426388552025
gini,10,2,2,0.2815,0.3711272247857614,0.32015922661359114
gini,10,2,3,0.2995,0.37959442332065907,0.33482392397987704
gini,10,2,4,0.2375,0.3340365682137834,0.2776154295733489
gini,10,2,5,0.242,0.31633986928104574,0.27422096317280453
gini,10,3,1,0.368,0.38393322900365157,0.37579780444217514
gini,10,3,2,0.277,0.369826435246996,0.31675242995997716
gini,10,3,3,0.296,0.37707006369426754,0.33165266106442576
gini,10,3,4,0.2385,0.3337998600419874,0.2782152230971129
gini,10,3,5,0.246,0.3153846153846154,0.27640449438202247
gini,10,4,1,0.348,0.3719935863174773,0.35959700335830536
gini,10,4,2,0.2815,0.36918032786885246,0.31943262411347517
gini,10,4,3,0.2995,0.38031746031746033,0.3351048951048951
gini,10,4,4,0.244,0.34293745607870696,0.28513000292141394
gini,10,4,5,0.237,0.3093994778067885,0.26840317100792754
gini,10,5,1,0.31,0.3504804974561899,0.3289997346776333
gini,10,5,2,0.279,0.37601078167115903,0.3203214695752009
gini,10,5,3,0.29,0.37275064267352187,0.3262092238470191
gini,10,5,4,0.237,0.3319327731092437,0.2765460910151692
gini,10,5,5,0.2435,0.31258023106546856,0.27374929735806636
gini,20,1,1,0.388,0.3655204898728215,0.3764249333009944
gini,20,1,2,0.2795,0.36776315789473685,0.3176136363636364
gini,20,1,3,0.2955,0.3771537970644544,0.3313708999158957
gini,20,1,4,0.241,0.34063604240282686,0.2822840409956076
gini,20,1,5,0.2425,0.31330749354005166,0.2733934611048478
gini,20,2,1,0.3915,0.36554621848739494,0.3780782230806374
gini,20,2,2,0.2835,0.37155963302752293,0.3216108905275099
gini,20,2,3,0.2945,0.37611749680715195,0.3303421200224341
gini,20,2,4,0.2365,0.33522324592487596,0.277338024039871
gini,20,2,5,0.2455,0.3165699548678272,0.2765418192058575
gini,20,3,1,0.372,0.3854922279792746,0.3786259541984733
gini,20,3,2,0.2775,0.3690159574468085,0.3167808219178082
gini,20,3,3,0.2995,0.3776796973518285,0.3340769659788065
gini,20,3,4,0.243,0.34009797060881736,0.28346456692913385
gini,20,3,5,0.245,0.3169469598965071,0.2763677382966723
gini,20,4,1,0.3445,0.3684491978609626,0.35607235142118865
gini,20,4,2,0.277,0.36567656765676565,0.31522048364153626
gini,20,4,3,0.294,0.37668161434977576,0.33024431339511373
gini,20,4,4,0.236,0.33498935415188075,0.2769140510413611
gini,20,4,5,0.248,0.31774503523382447,0.27857343442853133
gini,20,5,1,0.3125,0.3523111612175874,0.33121356650768413
gini,20,5,2,0.276,0.37449118046132973,0.3177892918825561
gini,20,5,3,0.295,0.37389100126742714,0.32979318054779205
gini,20,5,4,0.245,0.34217877094972066,0.28554778554778554
gini,20,5,5,0.2365,0.30694354315379624,0.2671561705732844
gini,50,1,1,0.3845,0.36137218045112784,0.37257751937984496
gini,50,1,2,0.279,0.3707641196013289,0.31840228245363766
gini,50,1,3,0.2905,0.3702995538559592,0.32558139534883723
gini,50,1,4,0.2405,0.33565945568736916,0.28022138071657443
